[Accuracy: 45.1% for 1000 games with 10 bombs, total time: 69.06s, average time per game: 0.07s]
won,193,230,0.12,29
won,194,230,0.13,29
won,195,230,0.14,30
won,196,230,0.14,31
lost,196,231,0.03,1
lost,196,232,0.04,3
won,197,232,0.11,27
lost,197,233,0.04,2
lost,197,234,0.06,8
won,198,234,0.07,21
won,199,234,0.1,22
lost,199,235,0.06,8
lost,199,236,0.03,2
lost,199,237,0.1,24
won,200,237,0.12,29
lost,200,238,0.06,20
won,201,238,0.09,28
won,202,238,0.08,21
lost,202,239,0.02,2
lost,202,240,0.04,8
lost,202,241,0.03,1
won,203,241,0.1,30
lost,203,242,0.04,4
won,204,242,0.11,24
lost,204,243,0.04,10
lost,204,244,0.03,3
lost,204,245,0.05,8
lost,204,246,0.03,1
won,205,246,0.07,12
lost,205,247,0.03,1
lost,205,248,0.11,33
lost,205,249,0.03,2
won,206,249,0.09,28
won,207,249,0.07,18
lost,207,250,0.04,2
lost,207,251,0.04,3
won,208,251,0.09,28
won,209,251,0.09,22
lost,209,252,0.04,3
lost,209,253,0.05,6
won,210,253,0.08,27
lost,210,254,0.03,1
won,211,254,0.09,14
lost,211,255,0.04,5
lost,211,256,0.03,1
won,212,256,0.1,34
lost,212,257,0.03,2
won,213,257,0.1,20
won,214,257,0.11,20
lost,214,258,0.04,8
won,215,258,0.08,23
lost,215,259,0.03,1
lost,215,260,0.11,32
lost,215,261,0.04,2
lost,215,262,0.03,2
lost,215,263,0.04,1
won,216,263,0.12,30
won,217,263,0.08,28
won,218,263,0.08,18
won,219,263,0.12,32
won,220,263,0.1,28
lost,220,264,0.03,2
lost,220,265,0.03,1
lost,220,266,0.03,1
won,221,266,0.08,13
won,222,266,0.12,26
won,223,266,0.1,28
won,224,266,0.08,29
lost,224,267,0.03,4
lost,224,268,0.03,2
won,225,268,0.07,16
won,226,268,0.07,7
won,227,268,0.1,29
lost,227,269,0.06,9
lost,227,270,0.05,9
lost,227,271,0.07,11
won,228,271,0.08,23
lost,228,272,0.04,4
won,229,272,0.1,29
won,230,272,0.09,25
lost,230,273,0.04,1
lost,230,274,0.04,1
won,231,274,0.08,19
lost,231,275,0.05,9
lost,231,276,0.03,3
won,232,276,0.1,21
lost,232,277,0.03,1
won,233,277,0.12,30
lost,233,278,0.03,1
lost,233,279,0.03,1
won,234,279,0.05,13
lost,234,280,0.03,2
won,235,280,0.08,23
lost,235,281,0.02,1
won,236,281,0.1,22
won,237,281,0.08,21
won,238,281,0.08,22
won,239,281,0.08,17
lost,239,282,0.07,13
won,240,282,0.09,32
lost,240,283,0.03,3
lost,240,284,0.12,27
won,241,284,0.11,28
lost,241,285,0.03,2
lost,241,286,0.04,3
lost,241,287,0.04,1
won,242,287,0.09,12
lost,242,288,0.09,15
lost,242,289,0.04,2
lost,242,290,0.03,1
lost,242,291,0.04,2
lost,242,292,0.04,1
lost,242,293,0.08,10
won,243,293,0.07,19
won,244,293,0.08,19
lost,244,294,0.04,8
lost,244,295,0.03,1
lost,244,296,0.04,3
lost,244,297,0.04,1
lost,244,298,0.04,1
won,245,298,0.1,28
lost,245,299,0.04,2
lost,245,300,0.04,3
won,246,300,0.07,19
lost,246,301,0.03,1
lost,246,302,0.03,5
won,247,302,0.07,18
won,248,302,0.1,22
lost,248,303,0.1,26
lost,248,304,0.05,2
lost,248,305,0.03,2
won,249,305,0.09,22
won,250,305,0.09,16
lost,250,306,0.08,10
lost,250,307,0.07,4
won,251,307,0.11,23
lost,251,308,0.04,1
won,252,308,0.09,24
won,253,308,0.1,24
won,254,308,0.1,25
lost,254,309,0.03,2
lost,254,310,0.03,3
lost,254,311,0.07,13
lost,254,312,0.04,1
lost,254,313,0.05,3
won,255,313,0.11,25
won,256,313,0.08,8
won,257,313,0.1,22
lost,257,314,0.04,5
won,258,314,0.1,18
lost,258,315,0.1,13
won,259,315,0.08,16
lost,259,316,0.09,19
won,260,316,0.11,28
won,261,316,0.12,28
lost,261,317,0.08,14
won,262,317,0.08,21
lost,262,318,0.08,7
lost,262,319,0.03,3
lost,262,320,0.03,6
won,263,320,0.08,14
lost,263,321,0.03,2
lost,263,322,0.08,11
lost,263,323,0.04,2
lost,263,324,0.07,23
won,264,324,0.07,25
won,265,324,0.07,16
lost,265,325,0.03,2
lost,265,326,0.03,1
lost,265,327,0.03,2
lost,265,328,0.03,6
won,266,328,0.07,22
lost,266,329,0.03,3
lost,266,330,0.03,3
lost,266,331,0.04,3
won,267,331,0.08,26
lost,267,332,0.07,9
lost,267,333,0.03,4
won,268,333,0.08,24
won,269,333,0.07,14
won,270,333,0.08,26
won,271,333,0.08,32
lost,271,334,0.05,2
won,272,334,0.1,27
won,273,334,0.09,26
lost,273,335,0.03,1
lost,273,336,0.05,4
won,274,336,0.12,37
won,275,336,0.07,12
won,276,336,0.1,25
lost,276,337,0.03,3
lost,276,338,0.04,3
lost,276,339,0.05,8
won,277,339,0.11,31
won,278,339,0.08,19
won,279,339,0.08,23
lost,279,340,0.07,15
won,280,340,0.08,12
won,281,340,0.1,32
won,282,340,0.1,34
won,283,340,0.11,35
won,284,340,0.09,23
lost,284,341,0.03,1
lost,284,342,0.05,3
lost,284,343,0.04,1
lost,284,344,0.06,13
lost,284,345,0.05,2
won,285,345,0.11,30
won,286,345,0.12,31
